"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14973",-8.61520851,52.67134799,"4c07d11e-2f6c-851d-e053-ca3ca8c0ca7f",54038.1562674642,"Limerick City and County","128001010","Abbey A"
"14974",-9.1247106,53.26356463,"4c07d11e-2f3f-851d-e053-ca3ca8c0ca7f",24113.2714296579,"Galway City","068003007","Bearna"
"14975",-9.1159264,53.2614462,"4c07d11e-2f40-851d-e053-ca3ca8c0ca7f",51063.8286109269,"Galway City","068003012","Bearna"
"14976",-9.11858065,53.26363476,"4c07d11e-2f41-851d-e053-ca3ca8c0ca7f",50539.5232984554,"Galway City","068003019","Bearna"
"14977",-8.62885486,52.67087289,"4c07d11e-2f5b-851d-e053-ca3ca8c0ca7f",30733.34494102,"Limerick City and County","128028003","Killeely B"
"14978",-8.42130015,51.90955744,"4c07d11e-2eba-851d-e053-ca3ca8c0ca7f",33906.6881397273,"Cork City","048065003","Tivoli B"
"14979",-8.41858871,51.90850989,"4c07d11e-2ebb-851d-e053-ca3ca8c0ca7f",49151.915713273,"Cork County","047277001","Rathcooney (Part Rural)"
"14980",-8.55695455,52.66535106,"4c07d11e-2f11-851d-e053-ca3ca8c0ca7f",45864.9608483613,"Limerick City and County","127026034","Ballysimon"
"14981",-8.55817802,52.66893208,"4c07d11e-2f12-851d-e053-ca3ca8c0ca7f",52182.180047106,"Limerick City and County","127026036","Ballysimon"
"14982",-8.53409515,52.66364661,"4c07d11e-2f13-851d-e053-ca3ca8c0ca7f",37230.6286294647,"Limerick City and County","127027009","Ballyvarra"
"14983",-9.10238945,53.27134116,"4c07d11e-2e81-851d-e053-ca3ca8c0ca7f",51561.7003694251,"Galway City","068003033","Bearna"
"14984",-9.10683625,53.27387636,"4c07d11e-2e82-851d-e053-ca3ca8c0ca7f",38093.8400685405,"Galway City","068003049","Bearna"
"14985",-8.97915742,52.83732679,"4c07d11e-2f63-851d-e053-ca3ca8c0ca7f",41116.3956738412,"Clare","037057017","Ennis Rural"
"14986",-8.6001973,52.66302757,"4c07d11e-2ee1-851d-e053-ca3ca8c0ca7f",31041.3532616198,"Limerick City and County","128036002","Singland B"
"14987",-6.26851309,53.63157564,"4c07d11e-29d2-851d-e053-ca3ca8c0ca7f",54386.7326403856,"Meath","167085007","Stamullin"
